sku,name,category_slug,product_url,image_url,image_filename,row_id,cluster_id,pca_x,pca_y,surface_type,material_group,cluster_size
101345858,Aella Chevron Hot Glass Mosaic,/tile,https://www.flooranddecor.com/glass-tile/aella-chevron-hot-glass-mosaic-101345858.html,https://i8.amplience.net/i/flooranddecor/101345858_aella-chevron-hot-glass-mosaic_display?fmt=auto&qlt=85,101345858.jpg,1188.0,13,0.15282196,-0.12897806,tile,other,49
101011963,Sample-Maverick Gold Porcelain Slab,/tile,https://www.flooranddecor.com/xl-porcelain-slabs/sample-maverick-gold-porcelain-slab-101011963.html,https://i8.amplience.net/i/flooranddecor/101011963_sample-maverick-gold-porcelain-slab_1?fmt=auto&qlt=85,101011963.jpg,1189.0,4,0.13457993,0.04497929,tile,other,42
101336964,Santa Clara Matte Quarry Tile,/tile,https://www.flooranddecor.com/quarry-tile/santa-clara-matte-quarry-tile-101336964.html,https://i8.amplience.net/i/flooranddecor/101336964_santa-clara-matte-quarry-tile_display?fmt=auto&qlt=85,101336964.jpg,1190.0,26,0.11366679,-0.09681212,tile,other,31
100975630,Sample - Bayona Silver Polished Porcelain Slab,/tile,https://www.flooranddecor.com/xl-porcelain-slabs/sample---bayona-silver-polished-porcelain-slab-100975630.html,https://i8.amplience.net/i/flooranddecor/100975630_sample---bayona-silver-polished-porcelain-slab_1?fmt=auto&qlt=85,100975630.jpg,1191.0,32,0.071932174,0.01536368,tile,other,65
100975655,Sample - Rialto Grand Polished Porcelain Slab,/tile,https://www.flooranddecor.com/xl-porcelain-slabs/sample---rialto-grand-polished-porcelain-slab-100975655.html,https://i8.amplience.net/i/flooranddecor/100975655_sample---rialto-grand-polished-porcelain-slab_1?fmt=auto&qlt=85,100975655.jpg,1192.0,4,0.14596565,0.121154286,tile,other,42
954507434,Minwax High-Gloss Hardwood Floor Reviver,/wood,https://www.flooranddecor.com/wood-cleaner--wood-laminate-installation-materials/minwax-high-gloss-hardwood-floor-reviver-954507434.html,https://i8.amplience.net/i/flooranddecor/954507434_minwax-high-gloss-hardwood-floor-reviver_1?fmt=auto&qlt=85,954507434.jpg,1193.0,33,-0.48883873,-0.047415994,wood,wood,12
100975275,Bona Hardwood Floor Mop,/wood,https://www.flooranddecor.com/design-center-vignette-5/bona-hardwood-floor-mop-100975275.html,https://i8.amplience.net/i/flooranddecor/100975275_bona-hardwood-floor-mop_1?fmt=auto&qlt=85,100975275.jpg,1194.0,33,-0.46744534,0.11139223,wood,wood,12
101155307,Fiume Lena Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/fiume-lena-polished-porcelain-tile-101155307.html,https://i8.amplience.net/i/flooranddecor/101155307_fiume-lena-polished-porcelain-tile_display?fmt=auto&qlt=85,101155307.jpg,,39,,,,other,28
101065415,Fresco Mint Stack Wall Tile,/tile,https://www.flooranddecor.com/dimensional-tile/fresco-mint-stack-wall-tile-101065415.html,https://i8.amplience.net/i/flooranddecor/101065415_fresco-mint-stack-wall-tile_display?fmt=auto&qlt=85,101065415.jpg,,28,,,,other,24
100997733,Matte Black Geo Porcelain Mosaic,/tile,https://www.flooranddecor.com/porcelain-ceramic-decoratives/matte-black-geo-porcelain-mosaic-100997733.html,https://i8.amplience.net/i/flooranddecor/100997733_matte-black-geo-porcelain-mosaic_display?fmt=auto&qlt=85,100997733.jpg,,37,,,,other,20
101074987,Matte White Brick Ceramic Tile,/tile,https://www.flooranddecor.com/explore-bathrooms/matte-white-brick-ceramic-tile-101074987.html,https://i8.amplience.net/i/flooranddecor/101074987_matte-white-brick-ceramic-tile_display?fmt=auto&qlt=85,101074987.jpg,,21,,,,other,40
100886076,Ice Blue II Pebble Marble Mosaic,/tile,https://www.flooranddecor.com/marble-decoratives/ice-blue-ii-pebble-marble-mosaic-100886076.html,https://i8.amplience.net/i/flooranddecor/100886076_ice-blue-ii-pebble-marble-mosaic_display?fmt=auto&qlt=85,100886076.jpg,,5,,,,other,22
